idx,유저,챗봇
624,상품 구성 상품 구성이 어떻게 되나요?,네좌훈 치마와 천연약쑥티백 20포포함입니다.
625,전자파 차단되져?,차단됩니다.
626,AS가 가능할까요?,제품 박스에 AS센터 번호가 잇습니다 그쪽으로 문의해 보시면 됩니다.
627,,
628,,
629,,
630,보라색 찜찔 일반형. 보라색 구매하고 싶은데. 색상 고르는 것 없네요. 블랙뿐인 가요?,현재 다보라색입니다 구매하시면 됩니다.
631,온도에 따라 시간 제한 있나유?,상품 문의는 표지에 있는 제조사로 문의 부탁드립니다.
632,하루 빨리 받고 싶어요 오늘 발송 가능할까요?,오늘 발송해 드릴게요.
633,제품 무게가 얼마 정도 됨?,1KG 미만입니다.
634,,
635,1700원에 한통 100개가 들어있는 건가요?,네 맞아요.
636,,
637,칼에 베인 상처 소독되나요?,겉 피부는 괜찮지만 안으로 스며들수 있는 상처는 하지 않는 게 좋습니다.
638,언제 배송 시작되지요,매일 오후 3시에 배송합니다. 주문하신 건은 택배사로 넘어갔습니다.
639,원재료와 제조국 모두한국인 가요?,수입산을프랩스왑은 포장지와 부직포 은 사용하며 주원료인 에탄올은 에탄올 제조전문회사에서 공급받는 제품이며 병원에서 사용하는 에탄올과 동일한 제품을 사용하고 있어요.
640,재료 모두국산인가요?,모든 재료를 국산으로 제조하는 회사는 국내에 한 군데도 없습니다 프 랩스왑에 사용되는 솜 또한수입하여 사용하며 국내에서는 아직까지 기술력이 부족하여 똑같은 품질을 만들수가 없얻요.
641,,
642,,
643,,
644,이제 6개월 된 아기 장난감 닦아서 소독해주려고 하는데 아기 장난감 닦아도 되는 건가요?,증발하기 전에 입에 대면 안 좋을 것 같습니다. 전용 소독용품으로 하는 게 나을수도 있겠네요.
645,혹시 택배사는 어디인가요?,oooo입니다. 오후 3시 이전 주문건은 다음날 대부분 배송됩니다.
646,,
647,,
648,식약처에서 의약외품 허가받아서 적혀 있는 건가요?,확인하느라 답변이 조금 늦었습니다. 결과는 정식 허가제품 맞고요.
649,국산 제조인가요?,네.국내에서 제조합니다.
650,,
651,알콜솜을 사용할 때 숨을 참고 쓰는 게 좋나요?,숨을 손과 팔 등에 사용할 때에는 참을 필요는 없얻요. 다만 냄새를 많이 마시면 몸에 해로운 것은 사실입니다. 가능한 냄새를 피하는 게 올바른 사용법이고 두통이나 구토가 동반되는 게 소독제인 점인 지하심이 올바를 것입니다.
652,멸균인가요?,배양검사 실험 결과 균 검출이 전혀 되지 않은 제품입니다. 멸균의 의미는 포장지에 붙어 생존할수 있는 균을 죽이고 자멸균을 하는 것입니다.
653,당일 발송처럼 적혔는데 아직도 발송 준비 중이죠?,주문해주신 제품은 5일 배송 출발하였습니다. 다만 이번 연휴 끝나고 배송사에 사상 최대 배송 물량으로 인해 배송 지연이 있을수 있다는 배송사의 공지가 내려왔습니다.
654,,
655,메디터치 여 름짜고 딱지상처 위에 붙여도 되나요?,상처인 상태에서 사용해 주셔도 됩니다. 사용시간은 취향에 따라 피부에 따라 사용하시면 됩니다.
656,듀오덤 CGF 스티커처럼 붙여 쓰는 건가요?,판매 중인 패치씬 폼드레싱 밴드류는 전부 붙여 쓰는 제품이며 1회용입니다.
657,,
658,,
659,점 빼고 붙일려고 하는데 메디터치 H 돗트 붙여도 되나요?,맘 밴드 뷰티 스팟을점 빼신자리에는 메디터치 H 돗트와 하이 가장 추천해 드리고 있어요.
660,마데카 습윤 밴드 42매 69매는 같은 제품인데수량만 다른 가요?,같은 제품이며수량만 다른 것 맞아요.
661,,
662,1번 여러 개 구매 예정입니다 유효기간은?,이지 덤뷰티 57매 23년 3월 8일입니다.
663,이지덤씬이지덤뷰티 사용기한이 언제까지 인가요?,이지 덤뷰티는 23년 1월 19일 근처로 형성되어 있으며 이지덤 씬은 22년 9월 4일 이후 제품들이 있어요.
664,듀오덤 엑스트라 씬 지금 사면 오는 제품의 유통기한이 어떻개 되겠죠,듀오덤 현재 고의 유통기한은 2024년 6월 1일입니다.
665,이지덤 뷰티 유효기간 어떻게 되쥬?,현재 저희가 보유 중인 이지덤 뷰티 유효기간은 22년 10월 22일 이후입니다.
666,24일 주문했는데 왜 아직 배송 시작 전이죠?,주문하신 날 발송은 해드렸으나 택배사에 추석 물량이 많아 하루 이틀 정도 지체되고 있습니다양해 부탁드려요.
667,마스크에 뿌려도 효과 있습니까?,마스크 겉면에 뿌리리시고 완전 건조 후 사용하시는 건 괜찮습니다 에탄올을 그러나 뿌리셨을 경우 필터 성능이 떨어진다고 하니 추천 드리지는 않아요.
668,냄새가 너무 강할 것 같아서 물 3알콜7의 비율로 희석해서 쓰려고 하는데 상관없죠?,저희가 판매하는 제품이 100ML 중에 탄올 83ML 나머지는 정제수로 희석 없이 그냥 쓰시면 됩니다.
669,손에 닿는 문고리나 물건에게 뿌려도 될까요?,방역용으로 사용하셔도 됩니다 손잡이문고리는수건에 묻혀서 닦는 것을 추천 드립니다.
670,에탄올과 마스크를 구매하려고 하는데 왜 배송비가 따로국밥인가요?,18리터에 탄올은 무게와 부피 때문에 합배송이 어려운 점 양해 부탁드려요.
671,책상이랑 바닥에 소독하려고 하는데 바로 뿌릴까요?,희석하지 않고 그냥 쓰시면 됩니다.
672,메딕하고 케어팜 차이점이 뭔가요?,제조사가 다릅니다.
673,대용량에 탄올 유통기한 지난 것이 있는데 버릴 때 어떻게 버려야 하나요?,유통기한이 많이 지났거나 밀봉을 잘못하셨으면 효과는 약간 떨어질수 있지만 그냥 버리시기보다 변기 청소나 바닥 청소용으로 쓰시면 좋을 것 같습니다.
674,케어팜 사용기한이 언제까지 인가요?,2023년 6월입니다.
675,oo에 탄올 83퍼센트 맞지,네 맞아요.
676,어제 오후 5시 이전에 주문했는데 배송조회가 되지 않습니다. 출고 진행이 안 될 걸까요?,어제 택배사 주문 폭주로 일부는 택배사에서 물류로 보내지 못했다고 합니다.
677,손 소독제로 사용하려고 하는데 다른 용액들이랑 희석하여 사용하는 건가요?,에탄올 83퍼센트라에탄올 9글리세린 1에탄올 8글리세린 2비율로 만드시면 될 것 같습니다.
678,oo oooo에 탄올 18L 발송하는 거 맞겠죠,에탄올 18리터 맞아요.
679,상처 부위에 듀오덤만 붙이면 되나요?,듀오덤만 붙이시면 됩니다. 약 성분이 있는 건 아니며 듀오덤을 붙여 딱지나 균이 생기지 않도록 하여 빠르게 자연치유되도록 하는 밴드입니다.
680,,
681,레이저로점제거한 곳에 붙여도 되나요?,점뺀 곳에 사용 가능하시며 금일 구매하시면 내일 택배 출고됩니다. 단현재 명절 연휴로 인해 택배 사 물량이 급증하여 배송이 평소 때보다 1 - 3일 정도 지연되고 있어요.
682,방금 주문했습니다. 금일 발송 맞죠?,금일 오후 6시 전주문건들은 당일 택배 출고됩니다.
683,배송업체가 어디인가요?,oooo로 택배 발송됩니다. 참고하시기 바랍니다.
684,팔이나 다리를 접히는 부분 붙일 때는 쭉 핀 상태에서 붙여야 하나요?,상처 부위를 깨끗하게 소독하신 후에 핀 상태에서 상처 부위보다 3CM 가량 더 크게 잘라서 붙여주세요.
685,이거듀 오덤 얇은 버전 정품 맞죠?,2018년부터 도미니카공화국에서 만들어져 두께가 얇아졌습니다 효과은 기존과 동일합니다.
686,이지큐바를 때 기초화장품을 바른 후에 바름?,상처 부위를 깨끗하게 씻은 뒤에 바로 이지큐 밴드를 발라주시기 바랍니다. 자세한 사용방법은 상세 페이지 내용을 참고해 주시기 바랍니다.
687,방수됩니까?,방수 기능은 없으나 약간에 생활방수 정도는 됩니다. 방수 테이프를 듀오덤 붙인 곳 위에 함께 붙이고 샤워하시면 될 거 같습니다.
688,유효기간 이 어떻게 되니,현재 2024년 9 - 10월까지는 상품이 발송되고 있어요. 이 점 참고 부탁드립니다.
689,액상 밴드 레이저 시술 부위에 발라도 됨?,네 사후관리를 사용 가능하십니다. 이지 큐액상 밴드나 듀오덤 제품으로 하시면 될 거 같습니다.
690,실밥 풀고 붙여도 되는 건지요?,듀오 덤 사용 가능하십니다. 붙이고 떼어낼 때가 걱정되시면 붙이는 게 아닌 이지큐액상 밴드로 발라서 사용하시는 걸 추천 드립니다.
691,배송 중 맞을까?,오전에 택배 포장되어 출고된 걸로 확인되고 있어요.
692,아까 주문했는데 오늘 배송되나 용? 빠른 배송 부탁드려요,당일 출고 가능해요. 빠르게 출고할수 있도록 하겠습니다.
693,방금 주문했는데 언제쯤 발송될까요?,어제 마감 이후 주문을 주셨네요 금 일 출고 예정이에요.
694,5번은 테가덤인가요?,네 테가 덤 맞아요.
695,주말 주문했는데 오늘 배송 출발하나요?,구매하신 상품은 금일 출고된 것으로 확인되고 있어요. 출고 후보통은 1 - 2일 정도 배송기간이 소요됩니다.
696,사용기한이 제조년월일로부터 얼마까지 인가요?,제조일로부터 5년이며 사용기간은 제품 박스 하단에 보시면 나와 있어요.
697,하루에 한 번씩만 갈면 되니,초반에는 하얀 스포가 많이 올라오면 자주 갈아주시는 걸 권해드리며 점차 상처가 아물면서 하얀 스포가 올라오는 게양이 줄어드는데 그때는 하루에 한 번 정도만 갈아주시면 됩니다.
698,제조년월이 언제일까요?,2019년 5 - 8월 제조상품들이 발송되고 있어요. 구매에 참고하시기 바랍니다.
699,구매했는데 자외선 차단도 되지,기본적인 차광은 가능합니다 점을 그래서 얼굴에 빼고 많이들 사용하시구요.
700,,
701,혹시. CGF인가요?,엑스트라 씬입니다. CGF와는 다른 상품입니다.
702,,
703,,
704,상처 부위가 작아서 잘라서 붙였는데 남은 듀오덤 보관은 어떻게 해야 하는지요?,제품을 포장하고 있는 비닐팩에 잘 넣어 두셔서 보관하시면 될 거 같습니다. 간혹 사용하시는 환경이 실내 온도가 높은 곳이거나 여름철에는 제품이 잘 안 떨어지는 경우가 발생될수 있어요.
705,어디서 배송해주세요?,oooo 택배로 발송됩니다.
706,유통기한이 언제까지 인가요?,2024년 6월입니다. 구매에 참고하시기 바랍니다.
707,문신지우는 치료하고 난 후 붙여도 되니,전문의와 상담 후에 사용하시는 것이 좋을 거 같습니다.
708,지금 주문하면 월요일에 바로 배송해 주실수 있나요?,주말 주문건들은 금일 택배 출고 예정이에요.
709,이게 언제까지 붙여놓는 건가요?,보통 은 하루 이틀 정도 붙여놓았다가 갈아주시면 됩니다. 단진물이 많으실 때는 육안으로 확인하시 여하얗게 올라온 걸 확인하시고 갈아주시면 됩니다.
710,약국에서 판매하는 듀오덤 가격보다 저렴해서요 제품에 문제없는 거 맞쥬?,동일한 제품이며 약국 듀오덤은수입 후 포장만 바꿔 어 출고되는 제품입니다.
711,사이즈가 가로세로 어케될까요?,10CMX 10CM 입니다. 구매에 참고하시기 바랍니다.
712,배송 오늘 보내주실수 있을까?,6시 전까지 결제하시면 금일 출고됩니다.
713,상품과 폴리글러브를 배송비 무료인이 같이 주문해도 무료 합배송 안 되고 배송비를 따로 내야 하는 건가요?,묶음 배송요청을 착불로 결제 후 배송란에 해주시기 바랍니다.
714,당일 출고되서 다음날 받았다는 후기 보고 다른 곳보다 비싸지만 주문했어요 넘급해서 그러는데 낼 받을수 있,금일 출고 예정이시며 내일 주말이라 내일 들어갈수도 있고 다음 주 월요일 날 들어갈수도 있어요.
715,수술 햇어요 째고 더 마본드로 붙혓는데 흉터에 붙혀도 되는 건가요?,수술하셨던 병원에 담당의 와 상의 후 사용을 하시기 바랍니다.
716,점 뺀 후에 사용해도 됨?,네 사용 가능하십니다 구매에 참고하시기 바랍니다.
717,,
718,알콜 솜 유통기한 얼마나 되지,유효기간이 2024년 5 - 6월까지 인 제품들이 발송되고 있어요. 이 점 구매에 참고하시기 바랍니다.
719,이 거 사용해보니 뗄 때 너무 안 떨어져서 상처 부위 살점이 다 떨어져 나갈 것 같고 끈적함이 너무 심해서 상처 부위 손상이 더 심할 것 같은데 불량인가요?,하얗게 스포가 올라오지 않아 때 어 내실 때 말씀하신 현상이 발생된 거 같습니다.
720,,
721,아이 무릎이 까졌는데 소독을 하고 붙혀야 하나유?,식염수 같은 제품으로 깨끗하게 소독한 후에 붙여주시면 됩니다. 상처에 부위에 진물이 많이 나올수도 있으므로 하얗게 올라오면 듀오덤을 갈아주셔야 합니다.
722,지금 구매했습니다. 오늘 출고 가능할까요?,금일 출고하도록 하겠습니다.
723,듀오덤은 방수가 되서 샤워 가능하다고 의사 선생님이 그러셨는데 방수되는 거 맞죠?,약간에 방수 기능이 있는 거지 100퍼센트 방수가 되는 제품은 아닙니다. 이 점 참고하시기 바랍니다.
724,당일 출고 가능할까요?,지금 결제하시면 당일 출고 가능해요.
725,혹시 조금 늦었는데. 당일 출고 가능할까요?,금일 출고됩니다.
726,월요일 입금 햇는데 배송조회가 안 되네요 7/17일엔 받을수 잇을까요?,확인해 보니 16일 0시 10분경에 입금하신 게 확인되고 있으며 제품은 현재 어제 출고되어 17일 현재 곤징암 허브에서 부천으로 이동 중에 있는 걸로 확인되고 있어요.
727,유통기한이 어떻게 되나유?,19년 2월 제조 및 사용기간은 2024년 2월입니다. 구매에 참고하시기 바랍니다.
728,다리 다쳐 흉터가 크게 남았는데 듀오덤 붙이고 있으면 흉터가 좀 연해 지쥬?,상처를 듀오덤은 치료하기 위해 사용하며 흉터에는 시카케어 제품을 사용하시는 것이 좋습니다.
729,듀오 덤 색상이 진한 것과 연한 것이 있는 걸로 아는데요 진한 색상으로 구입 가능한가요?,듀오덤은 색상이 따로 구분되어 나오지 않아요. 예전 미국 생산분과 현재도미니카 생산분에 대한 차이는 있었지만 지금은 전량 도미니카 생산으로 색상은 동일합니다.
730,방금 주문했는데 오늘 출고 가능한가요?,듀오덤 재고가 금일 오전에 모두소진되어 저녁에 재입고 예정이에요. 입고 되는 시간에 따라 금일 또는 내일 출고가 될수 있는 점 양해 부탁드려요.
731,얼굴을 아이가 다쳐서 빠른 배송 부탁드려요포비 돈으로 소독하고 바르면 되나요?,듀오덤을식염수로 소독 후에 붙여 주시면 됩니다. 그리고 현재 주말 주문량이 많아 제품이 주문 순서대로 발송 처리되고 있으나 택배 상황에 따라 금일 또는 내일 출고될수 있는 점 참고해 주시기 바랍니다.
732,결제 완료했습니다. 오늘 출고 확실한 가요?,금일 출고 가능해요. 저녁 7시 이후에 송장번호 조회 가능하십니다.
733,지금 주문했는데 오늘 배송 출발하는 거죠?,금일 출고토록 하겠습니다.
734,듀오덤 붙이기 전에 연고나 소독제 바르고 붙여도 되니,다른 연고 필요 없이 듀오덤만 붙이시면 되며 드름이나 점 뺀 후에도 붙이셔도 됩니다.
735,오늘 구매하려고 하는데 유통기한 알수 있나요?,2023년 12월 1일까지입니다. 구매에 참고하시기 바랍니다.
736,요거자 외선 차단도 되는 제품인 가용?,듀오덤은 어느 정도 자외선 차단이 되지만 100퍼센트의 자외선 차단 기능이 있는 건 아닙니다.
737,제가 방금 듀오덤 주문했는데 최근 제조일꺼로 오늘 배송 부탁 가능할까요?,주문건 확인하여금 일출고할수 있도록 하겠습니다.
738,오늘 구매하면 출고 가능한가요?,2023년 8월까지이며 제품 출고는 2월 7일부터 주문하신 순서대로 발송됩니다.
739,방금 주문했는데 혹시 오늘 출고되나요?,금일 출고됩니다.
740,미국산 맞져?,도미니카공화국으로 바뀐 지 약 1년 정도 되었어요. 현재는 도미니카공화국 생산 분만 나오고 있어요.
741,주문했는데 언제 보내주시져?,금일 주문하신 거확인하였으며 출고는 18일 예정이십니다.
742,언제 보내주시니,11일 출고 예정이십니다. 빠르게 출고할수 있도록 하겠습니다.
743,당일 출고되나요?,제품이 9일 날 입고 예정으로 입고 시간에 따라 빠르면 내일 늦어지면 모레 출고될수 있어요.
744,유통기한 알수 있을까요?,2023년 5월입니다. 구매에 참고해 주시기 바랍니다.
745,사이즈. 10 10인 가요?,네 맞아요.
746,배송 오늘 해서수요일 전에 도착하니,개천절에는 휴무날이므로 택배가 하지 않으며 금일 출고 기준 빠르면 내일 늦어지면 목요일쯤수령하실 거 같습니다.
747,배송 언제 되쥬?,주문건 확인 후 빠르게 출고토록 하겠습니다.
748,최근 상품으로 10X 10으로 부탁드립니다. 아추석 전에 오겠지요?,추석 전에 받아보시기 힘들수도 있어요. 금일 최대한 빠르게 출고토록 하겠습니다.
749,최근 꺼 유효기간이 언제까지에요?,2023년 1월까지입니다. 구매에 참고해 주시기 바랍니다.
750,누가 쓰던 걸 보내셨나요?,맞교환 처리해드리도록 하겠습니다. 제품 포장해 두셨다가 택배기사님 오시면 물건받고 기존 물건은 전달해 주시기 바랍니다.
751,,
752,당일 배송 가능함 가요?,금일 6시 전까지 결제 완료하시면 금일 출고됩니다.
753,방수인 가요?,메뉴얼상으로는 방수 기능은 없으나 실사용해보니 간단한 손 씻는 정도에 물 접촉은 방수가 되었어요.
754,사용해도 잘 안 떨어지고 뒤에 플라스틱 부분뗄 때 찢어져요 어 떡하죠?,제품 포장해 두셨다가 택배기사님 방문하시면 전달부탁드릴게요. 추후 제품이 입고되는 대로 확인 후 처리토록 하겠습니다.
755,오늘 받아서 사용하려고 뜯 엇는데 이거 불량인가요?,무더위로 인해 말씀하신 현상이 발생될수 있으며 제품을 냉장고에 2 - 3시간 정도 넣어뒀다가 사용해 보시길 권해드립니다.
756,제조년월일은 어디서 확인할수 있나요?,제품을 포장하고 있는 박스 하단에 제조년월 일 사용기간이 나와 있어요. 이 점 참고하여 주시기 바랍니다.
757,방금 주문했는데 오늘 출발 가능한가요?,금일 빠르게 출고하도록 하겠습니다.
758,오늘 주문했는데 바로 발송 가능할까요?,주문건 확인 후 빠르게 출고토록 하겠습니다.
759,제가 사는 지역 이ooooo 파업 중인지라 물건수령까지 2주 정도 걸려서요 혹시 타택배사로 배송 가능할까요?,이용을 저희가 oooo만 하고 있어서 타 택배 발송이 어렵습니다. 이 점 구매에 참고해 주시기 바랍니다.
760,6시 전에 결제 완료했는데요. 당일 발송 하져?,네 금일 출고됩니다.
761,빠른 배송은 감사한데 1BOX 에 10매가 들어 있어야는 거 아닌가요?,저희가 확인 후 금일 두장은 다시 발송해 드리도록 하겠습니다.
762,오늘 주문했는데 언제 출고되나요?,현재 듀오덤 엑스트라 씬 주문량이 금일 오전 결제분까지 출고되었어요. 내일 제품이 입고 예정으로 입고되는 대로 순차적으로 출고될 예정이에요.
763,출고 언제 되져?,금일 출고 예정이시며 택배 도착은 택배사 사정에 의해 출고 후 1 - 3일 정도 소요될수 있어요.
764,오늘 안에 도착이나 하겠어요?,딜리버리될수 있도록 oooo에요청토록 하겠습니다.
765,미국산인가요?,도미니카공화국입니다. 작년 생산분부터 미국 생산에서도 미니카공화국 생산으로 바뀌었습니다.
766,급하게 주문한 건데 아직도 결제 완료라고만 되어 있네요 언제 받을수 있습니까?,주말 주문량이 많아 출고가 지연된 점 사과드립니다. 금일 출고 예정이십니다.
767,토요일 6월 2일 주문했는데 언제 받아볼수 있을까요?,주말 주문량이 많아 출고가 지연된 점 사과드립니다. 금일 출고 예정이십니다.
768,언제 배송됩니까?,주말 택배 물량 폭주로 인해 현재 순차적으로 제품 발송 중에 있으며 금일 미출 고시 내 일 출고될수 있는 점 참고해 주시기 바랍니다.
769,일반 약국에서 파는 제품이랑 다른 가요?,약국에서 파는 것도 동일한 제품입니다. 작년 생산분부터 제조공장이 도미니카공화국 공장으로 바뀌면서 제품이 기존 미국 생산분보다 조금 얇아졌습니다.
770,몇 시까지 주문해 야당일 발송인가요?,금일 제품 입고 예정으로 빠르면 금일 오후 늦으면 내일 오전에 발송됩니다. 구매에 참고하시기 바랍니다.
771,혹시 알콜 솜도 유통기한 있나요?,듀오 덤 유효기간은 2022년 12월까지이며 알콜솜에 경우 개별 포장이 되어 있으나 유효기간이 지나거가 오래되면 마르는 현상이 발생될수 있어요.
772,가짜인가요?,ooo 정품 제품입니다. 작년부터 재조공장이 도미니카공화국으로 바뀌면서 기존보다 제품이 얇아졌습니다.
773,최근에 만들어진 제품인가요?,현재 시중에 풀리는 듀오덤은 작년 말 출고 예정이십니다. 이 점 참고하시 여 구매해주시기 바랍니다.
774,,
775,언제 배송되나요?,금일 출고될 예정이세요.
776,,
777,,
778,방금 알콜솜과 구매했습니다. 해외로 나갈 때 챙겨가야 하는데 빠른 배송이 가능한지요?,금일 현재 듀오덤 EX 제품이 오전에 모두소진되어 내일 입고 예정이에요. 입고 시간에 따라 빠르면 내일 늦어지면 다음 주 월요일 발송될수 있어요.
779,오늘 오후 1시 정도에 주문했는데 언제 받아볼수 있을까요?,주문건 확인 후 금일 출고토록 하겠습니다. 감사힙니다.
780,급해서 26일 아침에 주문했는데 아직도 집하라고만 뜨고 배송이동이 없네요 어찌된 건가요?,금일 오전 7시 노원에 간선하차로 나오고 있어요. 금일 배송이 시작될 것으로 보입니다.
781,,
782,,
783,오늘 주문하면 언제 출고되져?,금일 1시 전까지 주문건에 한해 금일 출고되며 그 이후 결제건들은 명절 지나고 나서 출고됩니다.
784,문의 드려요 유효기간 어떻게 되니,제조는 17년 5월이며 사용은 22년 5월입니다. 구매에 참고하시기 바랍니다.
785,듀오덤 지금 주문하면 오늘 배송되나요?,오늘 출고 가능해요.
786,지금 결제했는데 금일 발송되나요?,주문건 확인 후 금일 출고토록 하겠습니다.
787,지금 주문하면 언제 받을수 있을까요?,출고는 금일 되며수령시간은 출고 후 1 - 2일 정도 소요됩니다.
788,,
789,언제 받을수 있습니까?,금일 6시 전까지 입금 완료하시면 금일 출고됩니다. 말씀하신 대로 엑스트라씬 10x10입니다.
790,듀오덤은 방수 기능 있는 거죠?,듀오덤은 방수 기능이 없얻요. 하지만 간단한 세면을 할 때 듀오 덤이 접착력이 강하여 잘 떨어지지 않아요.
791,구매평보니까 박스 포장 대신 뽁뽁이 포장이 되어온다고 하던데 맞음?,듀오덤 Ex 1 개만 구매 시에는 뽁뽁이 포장으로 출고되며 그 외에는 박스 포장으로 발송됩니다.
792,화요일 26일 날 주문하면 언제 배송되겠죠,추석 전 주기 때문에 받는 날짜는 확정드리기 어렵습니다. 빠르면 이번 주 중에 받으시고 늦어지면 추석 지나고 받아보실수 있어요.
793,,
794,급해서 일찍 주문했는데 언제 배송되,제품이 주문량 폭주로 인해 듀오덤이 금일 모두소진되어 내일 재입고되면 발송이 가능해요.
795,유효기간이 언제까지 인가요?,주말 주문 건양이 많아 현재 순차적으로 발송 중에 있어요. 출고가 하루 이틀 정도 늦어질수도 있어요.
796,제조일자가 언제 고 유통기한은 언제인가요?,제조일 :16년 12월 유효기간 :21년12월입니다. 구매에 참고해 주시기 바랍니다.
797,상처 치료 때문에 그러는데 발송언 제쯤 되나여?,내일 출고가 가능할 거 같습니다. 다시 한 번 사과드리며 익일 빠르게 출고할수 있도록 하겠습니다.
798,,
799,31일 주문했는데 혹시 오늘 배송 출발하지요,내일 입고 예정이긴 한데 들어오는 시간에 따라 금일 또는 다음 주에 출고될수도 있어요.
800,,
801,도착 예정 날짜를 알수 있을까요?,금일 출고 예정이십니다.
802,어찌 된 건가요?,개인정보보호법으로 인해 저희에게는 질문 내용만 넘어와 있는 상태입니다.
803,유통기한이 언제까지 인가요?,저번 주 출고 건까지 2021년 8월입니다. 현재 금일수입원으로 발주가 들어간 상태이며 고객님께 출고되는 기간은 내일 또는 모레 출고가 가능할 거 같습니다.
804,어제 주문했는데 오늘은 배송이 되나여?,금일 출고 예정이세요 빠르게 출고할수 있도록 하겠습니다.
805,오늘 출고됩니까?,주말 건물량으로 인해 당일 출고가 어려울수도 있어요. 이 점 참고 부탁드리며 최대한 빠르게 출고할수 있도록 최선을 다하겠습니다.
806,,
807,배송 내 일 받아볼수 있을까요?,금일 입고 예정이라 빠르면 금일 중에 출고가 되고 입고 시간이 늦어지면 내일 출고가 될수도 있어요.
808,방금 주문했는데 방금 주문했는데 오늘 내로 출고가 가능한지요?,금일 및 내일은 출고가 사실상 어려울 거 같습니다. 빠르게 출고할수 있도록 최선을 다하겠습니다.
809,연휴가 기네 여지금 주문했는데 언제쯤 받을수 있을까요?,연휴로 인해 예상을 다음 주 월요일까지는 하셔야 할 거 같습니다.
810,,
811,배송문의 30일 결재했는데 왜 배송이 안 되었음?,어제까지 근로자에 날이라 택배업무가 오늘부터 정상가동됩니다. 주문 건 확인 후 빠르게 출고할수 있도록 하겠습니다.
812,금일 출고금 일출고 가능하려져?,금일 창고 입고 예정인데 아직 입고가 되지 않아서요입고가 늦으지면 내일 출고될수도 있어요.
813,출고가 된 건가요?,19일 날 저희 창고로 제품 입고 예정이었으나 입고가 늦어 저금일입고가 될 거 같습니다.
814,배송문의 배송 언제쯤 됨?,듀오덤이금일 입고 예정으로 고객님께는 금일 출고 예정이십니다. 빠르게 출고토록 하겠습니다.
815,여기가 싸고 재구매가 많다고 해서 구매하려고 하는데 최근 상품이 오는 거죠?,발송은 내일 가능하시며 제조년 월일 및 유통기한은 박스 및 제품에 표시되어 있어요.
816,배송 출고 오늘 되져?,네 오늘 출고 가능하십니다 주문건 확인 후 빠르게 출고토록 하겠습니다.
817,바로 배송되지,금일재고 많습니다 주문건 확인 후 바로 출고하도록 하겠습니다.
818,,
819,배송문의 배송 언제 되나유?,듀오덤 EX가 금일 입고 예정으로 빠르면 금일 중에 출고가 가능하며 늦어지면 내일 출고가 될수 있어요.
820,배송 언제돼 나요급하게 필요하여 주문한 건데요 배송 시작 언제됍니까?,연휴로 인해 예상을 다음 주 월요일까지는 하셔야 할 거 같습니다.
821,유통기한 유통기한이 언제까지 인가요?,유효기간은 2021년 7월입니다.
822,정품 맞나요?,정품 맞아요. 걱정 안 하시고 사용하셔도 됩니다.
823,배송 오늘은 출고 하겠죠,현재 금일 듀오덤이 입고 예정이라 입고되는 대로 바로 출고토록 하겠습니다.
824,발송은 언제 됩니까?,현재 이번 주 중 입고 예정인데 정확한 날짜는 아직수입원 측으로부터 받지 못한 상황입니다.
825,,
826,출고는 언제 출고가 언제 됨?,현재 듀오덤 EX 발송이 일시적인 재고 부족으로 인해 이번 주 중 안에 출고가 될 거 같습니다.
827,배송 언제 주문했는데요배송 빨리 가능할까요?,주문건 확인 후 금일 출고토록 하겠습니다.
828,,
829,방수테잎 잘라서 사용 가능한지 그리고 어디 제품인가요?,잘라서 사용하셔도 되며 3M 테가 덤입니다. 구매에 참고하시기 바랍니다.
830,10X 10/10X 10이 사이즈 맞아요?,네 맞아요. 구매에 참고하시기 바랍니다.
831,지금 주문하면 연휴 지나고 옴?,네 택배가 마감되어 명절 연휴 끝나고 일괄 발송 처리됩니다.
832,내일 써야 하는데 방금 주문했는데 혹시 내일 안에 받아볼수 있을까요?,주문건 확인 후 금일 출고토록 하겠습니다.
833,박스 겉면에 보면 5CMX 10M 라고 나와 있는데 적어 두신 설명을 보면 5M 라고 나와 있어서요 길이가 어찌 되나요?,답변 드립니다. 롤형 방수 테이프 5CMX 10M 가 맞아요.
834,급한데요 당일 발송되겠죠,금일 출고 가능하십니다. 주문 건 확인 후 빠른 출고하도록 하겠습니다.
835,배송문의 저번 주 주문했는데 아직 배송도 시작 안 했내요?,12월 5일 결제하신 걸로 확인되고 있어요. 내일 듀오덤이 창고 입고 예정이라 내일쯤 발송될 거 같습니다.
836,금일 배송 가능한가요?,주문건 확인 후 금일꼭.발송토록 하겠습니다.
837,유통기한이 어떻게 되져?,2021년 5월까지입니다. 구매에 참고하시기 바랍니다.
838,유통기한 언제까지 인가요?,2021년 5월입니다. 구매에 참고하시기 바랍니다.
839,배송은 언제 시작하나요?,배송이 늦어진 점 사과드립니다. 저번 주입고 예정이었으나 택배 사 물량 증가 및 주말 휴일로 인해 금일 또는 내일 제품이 입고될 예정이에요.
840,몇 시까지 주문하면 출고되나요?,현재 물량 증가로 인해 다음 주에 발송이 가능할 거 같습니다.
841,어제 구매했는데 언제 배송 시작되겠죠,금일 제품이 입고되어 금일 발송될 예정이십니다. 하루만 참아주세요.
842,,
843,금일 배송 가능한가요?,네 출고 가능하십니다.
